"","sample","maxn","ZoneName","Cluster","Time","Period","CvI"
"Multiple Use Zone.991","331",8,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1081","38",0,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1111","391",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1121","394",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1161","407",1,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1211","442",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1251","455",5,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.1271","47",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1301","490",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.1331","503",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1341","506",2,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1361","52",0,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1371","523",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.1401","54",12,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1411","543",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1431","55",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1451","56",0,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1461","567",8,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1471","570",5,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.1481","579",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1521","599",1,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1561","61",8,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1571","618",1,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.1601","63",2,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.1611","631",1,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1631","634",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1641","635",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.1661","647",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1681","650",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1691","655",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1761","682",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.1771","684",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.1791","694",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.1801","698",1,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1871","746",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.1891","75",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1911","759",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.1931","762",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1971","78",1,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.1981","782",1,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.2011","791",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.2031","800",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.2071","823",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.2101","839",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.2121","843",0,"Multiple Use Zone",13,"T2","Before","Control"
"Multiple Use Zone.2141","855",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.2151","858",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.2161","86",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.2171","87",0,"Multiple Use Zone",11,"T2","Before","Control"
"Multiple Use Zone.2181","88",0,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.2211","90",0,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.2251","95",3,"Multiple Use Zone",9,"T2","Before","Control"
"Multiple Use Zone.2311","GBR1-2",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.2391","RB1",0,"Multiple Use Zone",12,"T2","Before","Control"
"Multiple Use Zone.2401","RB2",0,"Multiple Use Zone",10,"T2","Before","Control"
"Multiple Use Zone.2421","RC2",1,"Multiple Use Zone",10,"T2","Before","Control"
"National Park Zone.641","170",0,"National Park Zone",14,"T2","Before","Impact"
"National Park Zone.1071","378",0,"National Park Zone",15,"T2","Before","Impact"
"National Park Zone.1181","42",0,"National Park Zone",14,"T2","Before","Impact"
"National Park Zone.1441","554",0,"National Park Zone",15,"T2","Before","Impact"
"National Park Zone.1491","58",0,"National Park Zone",15,"T2","Before","Impact"
"National Park Zone.1511","586",0,"National Park Zone",14,"T2","Before","Impact"
"National Park Zone.1711","666",0,"National Park Zone",15,"T2","Before","Impact"
"National Park Zone.2051","810",0,"National Park Zone",15,"T2","Before","Impact"
"National Park Zone.2081","826",0,"National Park Zone",14,"T2","Before","Impact"
"Habitat Protection Zone.322","12RC1",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.582","15",0,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.712","207",0,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.832","271",1,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.882","287",1,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.1002","335",0,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.1062","375",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.1222","443",1,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.1382","527",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.1842","719",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.1962","779",3,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.1992","783",0,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.2002","79",1,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.2222","91",1,"Habitat Protection Zone",17,"T3","Before","Control"
"Habitat Protection Zone.2302","GBR-BOB",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2322","GBR1-3",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2332","GBR1-4",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2342","GBR4-1",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2352","GBR4-2",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2362","GBR5-1",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2372","GBR5-2",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Habitat Protection Zone.2382","GBR5-3",0,"Habitat Protection Zone",16,"T3","Before","Control"
"Multiple Use Zone.22","10",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.114","102",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.132","1038",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.153","106",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.165","107",4,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.182","11",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.204","111",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.252","116",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.312","122",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.332","12RC2",7,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.342","12RC3",2,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.352","12RC5",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.362","12RC6",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.372","12RC7",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.382","12RC8",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.392","12RC9",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.412","135",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.422","139",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.432","13RC1",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.482","13RC2",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.492","13RC3",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.502","13RC4",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.512","13RC5",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.562","14",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.572","143",2,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.612","160",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.662","183",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.682","196",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.732","22",2,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.752","23",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.802","26",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.812","27",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.822","270",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.852","279",2,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.872","282",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.902","29",2,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.912","3",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.932","31",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.972","327",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.992","331",8,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1082","38",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1112","391",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1122","394",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1162","407",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1212","442",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1252","455",5,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1272","47",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1302","490",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1332","503",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1342","506",2,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1362","52",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1372","523",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1402","54",12,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1412","543",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1432","55",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1452","56",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1462","567",8,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1472","570",5,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1482","579",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1522","599",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1562","61",8,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1572","618",1,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1602","63",2,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1612","631",1,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1632","634",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1642","635",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1662","647",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1682","650",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1692","655",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1762","682",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1772","684",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1792","694",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1802","698",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1872","746",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1892","75",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1912","759",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1932","762",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1972","78",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1982","782",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2012","791",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2032","800",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2072","823",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.2102","839",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2122","843",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.2142","855",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2152","858",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2162","86",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2172","87",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2182","88",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.2212","90",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2252","95",3,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2312","GBR1-2",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2392","RB1",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2402","RB2",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.2422","RC2",1,"Multiple Use Zone",10,"T3","Before","Control"
"National Park Zone.642","170",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1072","378",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1182","42",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1442","554",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1492","58",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1512","586",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1712","666",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.2052","810",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.2082","826",0,"National Park Zone",14,"T3","Before","Impact"
