"","Sample","Apogonidae-Ostorhinchus-victoriae","Apogonidae-Unknown-spp","Aracanidae-Anoplocapros-amygdaloides","Aracanidae-Anoplocapros-lenticularis","Aracanidae-Caprichthys-gymnura","Aulopidae-Latropiscis-purpurissatus","Berycidae-Centroberyx-lineatus","Blenniidae-Petroscirtes-breviceps","Bothidae-Unknown-spp","Carangidae-Decapterus-spp","Carangidae-Pseudocaranx-spp","Carangidae-Seriola-hippos","Carangidae-Seriola-lalandi","Carangidae-Seriolina-nigrofasciata","Carangidae-Trachurus-novaezelandiae","Carcharhinidae-Carcharhinus-brevipinna","Carcharhinidae-Carcharhinus-sp1","Carcharhinidae-Galeocerdo-cuvier","Chaetodontidae-Chaetodon-assarius","Chaetodontidae-Chelmonops-curiosus","Cheilodactylidae-Cheilodactylus-gibbosus","Cheilodactylidae-Dactylophora-nigricans","Cheilodactylidae-Nemadactylus-valenciennesi","Dasyatidae-Bathytoshia-brevicaudata","Dinolestidae-Dinolestes-lewini","Diodontidae-Allomycterus-pilatus","Diodontidae-Diodon-nicthemerus","Echeneidae-Echeneis-naucrates","Enoplosidae-Enoplosus-armatus","Exocoetidae-Cypselurus-angusticeps","Gerreidae-Parequula-melbournensis","Glaucosomatidae-Glaucosoma-hebraicum","Haemulidae-Plectorhinchus-flavomaculatus","Heterodontidae-Heterodontus-portusjacksoni","Hypnidae-Hypnos-monopterygius","Kyphosidae-Girella-tephraeops","Kyphosidae-Girella-zebra","Kyphosidae-Kyphosus-spp","Kyphosidae-Kyphosus-sydneyanus","Labridae-Achoerodus-gouldii","Labridae-Anampses-geographicus","Labridae-Austrolabrus-maculatus","Labridae-Bodianus-frenchii","Labridae-Choerodon-rubescens","Labridae-Coris-auricularis","Labridae-Dotalabrus-aurantiacus","Labridae-Eupetrichthys-angustipes","Labridae-Halichoeres-brownfieldi","Labridae-Notolabrus-parilus","Labridae-Ophthalmolepis-lineolatus","Labridae-Pictilabrus-laticlavius","Labridae-Pseudolabrus-biserialis","Labridae-Suezichthys-cyanolaemus","Lamnidae-Isurus-oxyrinchus","Monacanthidae-Acanthaluteres-brownii","Monacanthidae-Acanthaluteres-vittiger","Monacanthidae-Brachaluteres-jacksonianus","Monacanthidae-Chaetodermis-penicilligerus","Monacanthidae-Eubalichthys-cyanoura","Monacanthidae-Eubalichthys-mosaicus","Monacanthidae-Meuschenia-australis","Monacanthidae-Meuschenia-flavolineata","Monacanthidae-Meuschenia-freycineti","Monacanthidae-Meuschenia-galii","Monacanthidae-Meuschenia-hippocrepis","Monacanthidae-Nelusetta-ayraud","Monacanthidae-Paramonacanthus-otisensis","Monacanthidae-Scobinichthys-granulatus","Monacanthidae-Thamnaconus-degeni","Monacanthidae-Unknown-spp","Mullidae-Parupeneus-chrysopleuron","Mullidae-Parupeneus-spilurus","Mullidae-Upeneichthys-lineatus","Mullidae-Upeneichthys-vlamingii","Mullidae-Upeneus-tragula","Muraenidae-Gymnothorax-javanicus","Muraenidae-Gymnothorax-prasinus","Muraenidae-Gymnothorax-undulatus","Muraenidae-Gymnothorax-woodwardi","Myliobatidae-Myliobatis-tenuicaudatus","Nemipteridae-Pentapodus-vitta","Neosebastidae-Neosebastes-pandus","Odacidae-Haletta-semifasciata","Odacidae-Heteroscarus-acroptilus","Odacidae-Neoodax-balteatus","Odacidae-Olisthops-cyanomelas","Odacidae-Siphonognathus-beddomei","Odacidae-Siphonognathus-caninis","Ophidiidae-Genypterus-tigerinus","Oplegnathidae-Oplegnathus-woodwardi","Orectolobidae-Orectolobus-halei","Orectolobidae-Orectolobus-hutchinsi","Ostraciidae-Aracana-aurita","Ostraciidae-Aracana-ornata","Paralichthyidae-Pseudorhombus-jenynsii","Parascylliidae-Parascyllium-ferrugineum","Parascylliidae-Parascyllium-variolatum","Pempherididae-Pempheris-klunzingeri","Pempherididae-Pempheris-multiradiata","Pentacerotidae-Paristiopterus-gallipavo","Pinguipedidae-Parapercis-haackei","Pinguipedidae-Parapercis-ramsayi","Platycephalidae-Platycephalus-bassensis","Platycephalidae-Platycephalus-grandispinis","Platycephalidae-Platycephalus-laevigatus","Platycephalidae-Platycephalus-speculator","Platycephalidae-Platycephalus-spp","Plesiopidae-Paraplesiops-meleagris","Plesiopidae-Trachinops-noarlungae","Pleuronectidae-Unknown-spp","Plotosidae-Cnidoglanis-macrocephalus","Pomacentridae-Chromis-klunzingeri","Pomacentridae-Chromis-westaustralis","Pomacentridae-Parma-mccullochi","Pomacentridae-Parma-victoriae","Rhinobatidae-Aptychotrema-vincentiana","Rhinobatidae-Trygonorrhina-dumerilii","Rhinobatidae-Trygonorrhina-fasciata","Scombridae-Scomber-australasicus","Scombridae-Thunnus-maccoyii","Scorpaenidae-Scorpaena-sumptuosa","Scorpididae-Neatypus-obliquus","Scorpididae-Scorpis-aequipinnis","Scorpididae-Scorpis-georgiana","Scorpididae-Tilodon-sexfasciatus","Scyliorhinidae-Aulohalaelurus-labiosus","Sebastidae-Helicolenus-barathri","Serranidae-Acanthistius-serratus","Serranidae-Caesioperca-rasor","Serranidae-Caesioperca-sp.","Serranidae-Epinephelides-armatus","Serranidae-Hypoplectrodes-nigroruber","Serranidae-Othos-dentex","Sillaginidae-Sillaginodes-punctatus","Sillaginidae-Sillago-schomburgkii","Sillaginidae-Sillago-spp","Sparidae-Chrysophrys-auratus","Sparidae-Rhabdosargus-sarba","Sphyraenidae-Sphyraena-novaehollandiae","Sphyraenidae-Sphyraena-obtusata","Sphyrnidae-Sphyrna-lewini","Sphyrnidae-Sphyrna-zygaena","Synodontidae-Unknown-spp","Terapontidae-Pelates-sexlineatus","Terapontidae-Pelsartia-humeralis","Tetraodontidae-Lagocephalus-sceleratus","Tetraodontidae-Torquigener-pallimaculatus","Triakidae-Furgaleus-macki","Triakidae-Galeorhinus-galeus","Triakidae-Mustelus-antarcticus","Triglidae-Chelidonichthys-kumu","Unknown-Unknown-spp","Urolophidae-Trygonoptera-galba","Urolophidae-Trygonoptera-ovalis","Urolophidae-Trygonoptera-personata","Urolophidae-Unknown-spp","Urolophidae-Urolophus-circularis","Zeidae-Zeus-faber","clust"
"1","103",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25"
"2","1038",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"3","106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4"
"4","107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,2,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5"
"5","11",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"6"
"6","112",0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"27"
"7","11R2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27"
"8","11R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27"
"9","11R4",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"31"
"10","122",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"3"
"11","12RC1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,1,24,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"12","12RC2",0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
"13","12RC3",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8"
"14","12RC5",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3,1,1,8,0,0,0,2,3,0,4,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"4"
"15","12RC6",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,27,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4"
"16","12RC7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,1,0,46,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"17","12RC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,8,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"18","12RC9",0,0,0,0,0,0,0,0,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,5,0,0,0,1,0,3,0,0,0,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"19","135",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"3"
"20","139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"6"
"21","13RC1",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,5,0,9,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"10"
