"","sample","campaignid","latitude","longitude","Amphibolis","Posidonia","Zostera","Turf.algae","Erect.coarse.branching","Erect.fine.branching","Ecklonia.radiata","Scytothalia.dorycarpa","Sponges","Corals","strap.like","macroalgaeother","clust"
"1","103","2014-12_Geographe_Bay_stereoBRUVs",-33.4581167,115.4547167,9.09,50,0,31.82,0,0,0,0,0,0,0,0,"25"
"2","1038","2014-12_Geographe_Bay_stereoBRUVs",-33.5333333,115.4200167,0,80,0,20,0,0,0,0,0,0,0,0,"3"
"3","106","2014-12_Geographe_Bay_stereoBRUVs",-33.57825,115.3451333,100,0,0,0,0,0,0,0,0,0,0,0,"4"
"4","107","2014-12_Geographe_Bay_stereoBRUVs",-33.5833333,115.1881167,0,64,0,28,0,0,0,0,0,0,0,0,"5"
"5","11","2014-12_Geographe_Bay_stereoBRUVs",-33.5712167,115.2958167,75,0,0,5,0,0,0,0,0,0,0,0,"6"
"6","112","2014-12_Geographe_Bay_stereoBRUVs",-33.4052,115.5224,57.7,0,0,0,42.31,0,0,0,0,0,0,0,"27"
"7","11R2","2014-12_Geographe_Bay_stereoBRUVs",-33.3967333,115.5076167,0,52.17,0,43.48,0,0,0,0,0,0,0,0,"27"
"8","11R3","2014-12_Geographe_Bay_stereoBRUVs",-33.41215,115.5204667,100,0,0,0,0,0,0,0,0,0,0,0,"27"
"9","11R4","2014-12_Geographe_Bay_stereoBRUVs",-33.4197,115.51755,0,0,0,45.83,45.83,0,0,0,0,0,0,8.33,"31"
"10","122","2014-12_Geographe_Bay_stereoBRUVs",-33.5375,115.4020833,76.19,0,0,4.76,0,0,0,0,0,0,0,0,"3"
"11","12RC1","2014-12_Geographe_Bay_stereoBRUVs",-33.5932167,115.2132833,0,0,0,30,0,0,0,0,0,0,0,0,"2"
"12","12RC2","2014-12_Geographe_Bay_stereoBRUVs",-33.5916,115.23785,20,45,0,30,0,0,0,0,0,0,0,0,"8"
"13","12RC3","2014-12_Geographe_Bay_stereoBRUVs",-33.5914667,115.24145,0,0,0,100,0,0,0,0,0,0,0,0,"8"
"14","12RC5","2014-12_Geographe_Bay_stereoBRUVs",-33.5621333,115.3443,0,0,0,75,25,0,0,0,0,0,0,0,"4"
"15","12RC6","2014-12_Geographe_Bay_stereoBRUVs",-33.5711,115.3481333,0,0,0,100,0,0,0,0,0,0,0,0,"4"
"16","12RC7","2014-12_Geographe_Bay_stereoBRUVs",-33.5118,115.41785,0,0,0,80,20,0,0,0,0,0,0,0,"3"
"17","12RC8","2014-12_Geographe_Bay_stereoBRUVs",-33.5148667,115.41815,0,0,0,34.62,61.54,0,0,0,0,0,0,3.85000000000001,"3"
"18","12RC9","2014-12_Geographe_Bay_stereoBRUVs",-33.5162167,115.4064167,0,0,0,95.24,4.76,0,0,0,0,0,0,0,"3"
"19","135","2014-12_Geographe_Bay_stereoBRUVs",-33.50185,115.4207333,15,20,0,60,0,0,0,0,5,0,0,0,"3"
"20","139","2014-12_Geographe_Bay_stereoBRUVs",-33.60325,115.2736667,25,30,0,45,0,0,0,0,0,0,0,0,"6"
"21","13RC1","2014-12_Geographe_Bay_stereoBRUVs",-33.5059833,115.43075,0,0,0,76,24,0,0,0,0,0,0,0,"10"
"22","13RC2","2014-12_Geographe_Bay_stereoBRUVs",-33.49485,115.45595,0,0,0,86.21,13.79,0,0,0,0,0,0,0,"10"
"23","13RC3","2014-12_Geographe_Bay_stereoBRUVs",-33.4839333,115.45155,0,0,0,58.33,33.33,0,0,0,0,0,0,8.33,"10"
"24","13RC5","2014-12_Geographe_Bay_stereoBRUVs",-33.4839333,115.4656167,0,71.43,0,0,0,0,0,0,0,0,0,0,"10"
"25","14","2014-12_Geographe_Bay_stereoBRUVs",-33.5296667,115.4130333,0,0,0,90,0,0,0,0,0,0,0,0,"3"
"26","143","2014-12_Geographe_Bay_stereoBRUVs",-33.5761667,115.2367,0,0,0,100,0,0,0,0,0,0,0,0,"8"
"27","15","2014-12_Geographe_Bay_stereoBRUVs",-33.5782333,115.2147833,27.78,55.56,0,0,0,0,0,0,0,0,0,0,"2"
"28","151","2014-12_Geographe_Bay_stereoBRUVs",-33.4768,115.4328833,4.55,36.37,0,59.09,0,0,0,0,0,0,7.105427357601e-15,0,"25"
"29","16","2014-12_Geographe_Bay_stereoBRUVs",-33.3889,115.4986167,0,30,0,60,10,0,0,0,0,0,0,0,"27"
"30","160","2014-12_Geographe_Bay_stereoBRUVs",-33.6033667,115.2477833,100,0,0,0,0,0,0,0,0,0,0,0,"8"
"31","167","2014-12_Geographe_Bay_stereoBRUVs",-33.4627333,115.4805667,5.56,50,0,44.45,0,0,0,0,0,0,0,0,"25"
"32","170","2014-12_Geographe_Bay_stereoBRUVs",-33.54165,115.3698333,40,50,0,10,0,0,0,0,0,0,0,0,"1"
"33","183","2014-12_Geographe_Bay_stereoBRUVs",-33.5687667,115.2488,0,88.88,0,0,0,0,0,0,0,0,0,0,"8"
"34","196","2014-12_Geographe_Bay_stereoBRUVs",-33.5098167,115.4045,40,53.33,0,6.67,0,0,0,0,0,0,0,0,"3"
"35","207","2014-12_Geographe_Bay_stereoBRUVs",-33.5738333,115.23165,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"36","22","2014-12_Geographe_Bay_stereoBRUVs",-33.57455,115.1806667,0,0,0,95.24,0,0,0,0,4.76,0,0,0,"5"
"37","224","2014-12_Geographe_Bay_stereoBRUVs",-33.4189,115.5035833,0,0,0,100,0,0,0,0,0,0,0,0,"31"
"38","23","2014-12_Geographe_Bay_stereoBRUVs",-33.5041833,115.4289333,2.86,25.72,0,31.43,2.86,0,0,0,0,0,0,0,"10"
"39","240","2014-12_Geographe_Bay_stereoBRUVs",-33.4387833,115.4684667,0,7.89,0,73.68,0,0,0,0,0,0,0,0,"31"
"40","256","2014-12_Geographe_Bay_stereoBRUVs",-33.4083167,115.4774833,0,0,0,88,0,0,0,0,0,0,0,0,"31"
"41","26","2014-12_Geographe_Bay_stereoBRUVs",-33.5500333,115.3236167,9.52,28.57,0,57.14,0,0,0,0,0,0,0,0,"4"
"42","27","2014-12_Geographe_Bay_stereoBRUVs",-33.5463667,115.1883833,0,0,0,0,0,0,0,0,0,0,0,0,"5"
"43","270","2014-12_Geographe_Bay_stereoBRUVs",-33.52045,115.4206,100,0,0,0,0,0,0,0,0,0,0,0,"3"
"44","271","2014-12_Geographe_Bay_stereoBRUVs",-33.5937,115.2133167,0,0,0,86.67,0,0,0,0,0,0,13.33,0,"2"
"45","272","2014-12_Geographe_Bay_stereoBRUVs",-33.3815,115.4879333,0,0,0,95,5,0,0,0,0,0,0,0,"27"
"46","279","2014-12_Geographe_Bay_stereoBRUVs",-33.5011833,115.4379167,35,0,0,55,10,0,0,0,0,0,0,0,"10"
"47","282","2014-12_Geographe_Bay_stereoBRUVs",-33.5571833,115.3322333,42.85,23.81,0,14.28,19.05,0,0,0,0,0,0,0,"4"
"48","287","2014-12_Geographe_Bay_stereoBRUVs",-33.5940333,115.2189,70,0,0,0,15,0,0,0,0,0,0,0,"2"
"49","288","2014-12_Geographe_Bay_stereoBRUVs",-33.4709833,115.4775833,15,10,0,65,5,0,0,0,0,0,0,0,"25"
"50","31","2014-12_Geographe_Bay_stereoBRUVs",-33.5986333,115.2369167,0,0,0,0,0,0,0,0,0,0,0,0,"8"
"51","316","2014-12_Geographe_Bay_stereoBRUVs",-33.3839667,115.5281667,0,22.22,0,77.78,0,0,0,0,0,0,0,0,"27"
"52","32","2014-12_Geographe_Bay_stereoBRUVs",-33.4807833,115.46205,91.31,0,0,4.35,4.35,0,0,0,0,0,0,0,"10"
"53","320","2014-12_Geographe_Bay_stereoBRUVs",-33.4417833,115.49575,0,36.67,0,26.66,6.67,0,0,0,0,0,0,0,"31"
"54","331","2014-12_Geographe_Bay_stereoBRUVs",-33.6030833,115.2530333,55.56,5.56,0,38.89,0,0,0,0,0,0,-7.105427357601e-15,0,"8"
"55","335","2014-12_Geographe_Bay_stereoBRUVs",-33.5771167,115.2266667,0,35.71,0,42.86,0,0,0,0,0,0,0,0,"2"
"56","352","2014-12_Geographe_Bay_stereoBRUVs",-33.4517667,115.4879833,55,0,0,20,5,0,0,0,0,0,5,0,"25"
"57","375","2014-12_Geographe_Bay_stereoBRUVs",-33.5902167,115.2205667,0,100,0,0,0,0,0,0,0,0,0,0,"2"
"58","378","2014-12_Geographe_Bay_stereoBRUVs",-33.5555833,115.3912,60,20,0,0,0,0,0,0,0,0,10,0,"1"
"59","384","2014-12_Geographe_Bay_stereoBRUVs",-33.4274667,115.51415,0,0,0,68.42,26.32,0,0,0,5.26,0,0,-1.4210854715202e-14,"31"
"60","39","2014-12_Geographe_Bay_stereoBRUVs",-33.465,115.43285,4.35,34.79,0,8.7,0,0,0,0,0,0,0,0,"25"
"61","391","2014-12_Geographe_Bay_stereoBRUVs",-33.50165,115.4101333,53.33,20,0,0,0,0,0,0,0,0,6.67,6.67,"3"
"62","407","2014-12_Geographe_Bay_stereoBRUVs",-33.4881667,115.4274667,70,0,0,20,0,0,0,0,0,0,0,0,"10"
"63","42","2014-12_Geographe_Bay_stereoBRUVs",-33.5425167,115.3862333,47.62,47.62,0,4.76,0,0,0,0,0,0,0,0,"1"
"64","432","2014-12_Geographe_Bay_stereoBRUVs",-33.4270333,115.4686,0,50,0,15,0,0,0,0,0,0,0,25,"31"
"65","442","2014-12_Geographe_Bay_stereoBRUVs",-33.5066,115.41935,50,0,0,12.5,0,31.25,0,0,0,0,0,0,"3"
"66","443","2014-12_Geographe_Bay_stereoBRUVs",-33.5698,115.2024833,25,45,0,5,0,0,0,0,0,0,0,0,"2"
"67","448","2014-12_Geographe_Bay_stereoBRUVs",-33.3965,115.4930667,0,10,0,90,0,0,0,0,0,0,0,0,"27"
"68","455","2014-12_Geographe_Bay_stereoBRUVs",-33.5671333,115.1820333,0,21.05,0,0,0,0,0,0,0,0,5.26,0,"5"
"69","47","2014-12_Geographe_Bay_stereoBRUVs",-33.5485,115.2877667,0,13.64,0,0,0,0,0,0,0,0,0,0,"6"
"70","48","2014-12_Geographe_Bay_stereoBRUVs",-33.40275,115.5133833,0,26.67,0,73.34,0,0,0,0,0,0,0,0,"27"
"71","490","2014-12_Geographe_Bay_stereoBRUVs",-33.5613,115.3612,0,0,0,100,0,0,0,0,0,0,0,0,"4"
"72","503","2014-12_Geographe_Bay_stereoBRUVs",-33.5845333,115.3097667,85,0,0,0,0,0,0,0,0,0,0,0,"6"
"73","506","2014-12_Geographe_Bay_stereoBRUVs",-33.5173833,115.4165,15,0,0,85,0,0,0,0,0,0,0,0,"3"
"74","523","2014-12_Geographe_Bay_stereoBRUVs",-33.5634333,115.1589167,0,95,0,0,0,0,0,0,0,0,0,0,"5"
"75","527","2014-12_Geographe_Bay_stereoBRUVs",-33.5894167,115.2078167,0,100,0,0,0,0,0,0,0,0,0,0,"2"
"76","543","2014-12_Geographe_Bay_stereoBRUVs",-33.5950333,115.2434,0,0,0,80,20,0,0,0,0,0,0,0,"8"
"77","55","2014-12_Geographe_Bay_stereoBRUVs",-33.5708667,115.2801167,60,0,0,0,0,0,0,0,0,0,0,0,"6"
"78","554","2014-12_Geographe_Bay_stereoBRUVs",-33.55765,115.3835167,52.63,47.37,0,0,0,0,0,0,0,0,0,0,"1"
"79","567","2014-12_Geographe_Bay_stereoBRUVs",-33.5866833,115.2760167,65,10,0,0,0,0,0,0,0,0,0,0,"6"
"80","570","2014-12_Geographe_Bay_stereoBRUVs",-33.5731333,115.1625333,38.46,53.84,0,0,0,0,0,0,0,0,-1.4210854715202e-14,0,"5"
"81","58","2014-12_Geographe_Bay_stereoBRUVs",-33.56965,115.3795833,80,0,0,20,0,0,0,0,0,0,0,0,"1"
"82","586","2014-12_Geographe_Bay_stereoBRUVs",-33.5309167,115.38595,45,10,0,10,10,0,0,0,0,0,0,0,"1"
"83","599","2014-12_Geographe_Bay_stereoBRUVs",-33.5021167,115.4508,13.04,4.35,0,78.27,0,0,0,0,0,0,0,0,"10"
"84","60","2014-12_Geographe_Bay_stereoBRUVs",-33.3626167,115.5049333,0,59.09,0,40.91,0,0,0,0,0,0,0,0,"27"
"85","608","2014-12_Geographe_Bay_stereoBRUVs",-33.4551833,115.4702833,0,60,0,40,0,0,0,0,0,0,0,0,"25"
"86","618","2014-12_Geographe_Bay_stereoBRUVs",-33.5678833,115.3528167,0,0,0,85,0,0,0,0,0,0,0,5,"4"
"87","624","2014-12_Geographe_Bay_stereoBRUVs",-33.4209667,115.4918833,0,0,0,100,0,0,0,0,0,0,0,0,"31"
"88","631","2014-12_Geographe_Bay_stereoBRUVs",-33.5778833,115.2541167,10,5,0,20,40,0,0,0,0,0,0,0,"8"
"89","633","2014-12_Geographe_Bay_stereoBRUVs",-33.4711667,115.4535,0,4.76,0,95.24,0,0,0,0,0,0,0,0,"25"
"90","634","2014-12_Geographe_Bay_stereoBRUVs",-33.5336667,115.4141167,0,18.18,0,81.82,0,0,0,0,0,0,0,0,"3"
"91","635","2014-12_Geographe_Bay_stereoBRUVs",-33.5809667,115.1995667,10,70,0,15,0,0,0,0,0,0,0,0,"5"
"92","64","2014-12_Geographe_Bay_stereoBRUVs",-33.4364167,115.50945,0,76.19,0,23.81,0,0,0,0,0,0,0,0,"31"
"93","647","2014-12_Geographe_Bay_stereoBRUVs",-33.4926,115.42465,100,0,0,0,0,0,0,0,0,0,0,0,"10"
"94","655","2014-12_Geographe_Bay_stereoBRUVs",-33.5812,115.2456833,0,66.67,0,23.81,0,0,0,0,0,0,0,0,"8"
"95","666","2014-12_Geographe_Bay_stereoBRUVs",-33.5511167,115.35715,42.86,0,0,0,0,0,0,0,0,0,0,4.76,"1"
"96","672","2014-12_Geographe_Bay_stereoBRUVs",-33.4004333,115.53565,13.64,86.37,0,0,0,0,0,0,0,0,0,0,"27"
"97","679","2014-12_Geographe_Bay_stereoBRUVs",-33.4721333,115.4152667,20,0,0,0,0,0,0,0,0,0,0,0,"25"
"98","682","2014-12_Geographe_Bay_stereoBRUVs",-33.5696167,115.3354167,0,0,0,100,0,0,0,0,0,0,0,0,"4"
"99","684","2014-12_Geographe_Bay_stereoBRUVs",-33.5845333,115.1735,0,0,0,0,0,0,0,0,0,0,0,0,"5"
"100","698","2014-12_Geographe_Bay_stereoBRUVs",-33.5246167,115.4035333,9.52,85.72,0,4.76,0,0,0,0,0,0,0,0,"3"
"101","7","2014-12_Geographe_Bay_stereoBRUVs",-33.4204833,115.4457,0,0,0,0,0,0,0,0,0,0,0,0,"31"
"102","719","2014-12_Geographe_Bay_stereoBRUVs",-33.6009667,115.23245,0,0,0,0,0,0,0,0,0,0,0,8.7,"2"
"103","746","2014-12_Geographe_Bay_stereoBRUVs",-33.5794333,115.3570667,0,0,0,0,0,0,0,0,0,0,0,0,"4"
"104","748","2014-12_Geographe_Bay_stereoBRUVs",-33.3695667,115.5138333,10,50,0,30,10,0,0,0,0,0,0,0,"27"
"105","75","2014-12_Geographe_Bay_stereoBRUVs",-33.5893333,115.29455,91.31,8.7,0,0,0,0,0,0,0,0,0,0,"6"
"106","755","2014-12_Geographe_Bay_stereoBRUVs",-33.43385,115.4571167,0,15,0,65,0,0,0,0,0,0,0,0,"31"
"107","759","2014-12_Geographe_Bay_stereoBRUVs",-33.5759,115.3173333,100,0,0,0,0,0,0,0,0,0,0,0,"6"
"108","762","2014-12_Geographe_Bay_stereoBRUVs",-33.5198667,115.4149,0,0,0,81.58,15.79,0,0,0,2.63,0,0,0,"3"
"109","764","2014-12_Geographe_Bay_stereoBRUVs",-33.3744333,115.49605,25,50,0,25,0,0,0,0,0,0,0,0,"27"
"110","779","2014-12_Geographe_Bay_stereoBRUVs",-33.5817167,115.2263667,0,9.52,0,90.47,0,0,0,0,0,0,0,0,"2"
"111","78","2014-12_Geographe_Bay_stereoBRUVs",-33.5076,115.4437667,0,30.43,0,69.57,0,0,0,0,0,0,0,0,"10"
"112","782","2014-12_Geographe_Bay_stereoBRUVs",-33.5142,115.4368333,100,0,0,0,0,0,0,0,0,0,0,0,"10"
"113","783","2014-12_Geographe_Bay_stereoBRUVs",-33.5817167,115.2263667,44.44,11.11,0,27.78,0,0,0,0,0,0,0,0,"2"
"114","79","2014-12_Geographe_Bay_stereoBRUVs",-33.5874,115.2308833,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"115","791","2014-12_Geographe_Bay_stereoBRUVs",-33.4851333,115.4435167,24,0,0,60,0,0,0,0,0,0,0,0,"10"
"116","800","2014-12_Geographe_Bay_stereoBRUVs",-33.5731667,115.1934833,13.33,0,0,26.67,0,0,0,0,6.67,0,0,13.33,"5"
"117","810","2014-12_Geographe_Bay_stereoBRUVs",-33.5513333,115.3766,22.73,4.55,0,40.91,0,0,0,0,0,0,0,0,"1"
"118","823","2014-12_Geographe_Bay_stereoBRUVs",-33.5857333,115.2872167,21.05,63.16,0,10.53,0,0,0,0,5.26,0,0,0,"6"
"119","826","2014-12_Geographe_Bay_stereoBRUVs",-33.5426833,115.4005833,70,15,0,0,0,0,0,0,0,0,5,0,"1"
"120","843","2014-12_Geographe_Bay_stereoBRUVs",-33.5999833,115.2586,0,11.12,0,88.89,0,0,0,0,0,0,0,0,"8"
"121","855","2014-12_Geographe_Bay_stereoBRUVs",-33.4901,115.4357667,35,25,0,35,0,0,0,0,0,0,0,0,"10"
"122","858","2014-12_Geographe_Bay_stereoBRUVs",-33.5573167,115.3461833,0,0,0,12.5,0,0,0,0,0,0,0,0,"4"
"123","86","2014-12_Geographe_Bay_stereoBRUVs",-33.5405167,115.1785167,0,63.16,0,0,0,0,0,0,0,0,0,0,"5"
"124","87","2014-12_Geographe_Bay_stereoBRUVs",-33.4896,115.4589333,0,0,0,76.47,23.53,0,0,0,0,0,0,0,"10"
"125","91","2014-12_Geographe_Bay_stereoBRUVs",-33.5396,115.2060833,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"126","96","2014-12_Geographe_Bay_stereoBRUVs",-33.4489,115.4808167,60,0,0,20,5,0,0,0,0,0,0,15,"25"
"127","GBR1-2","2014-12_Geographe_Bay_stereoBRUVs",-33.5936,115.1995333,0,0,0,100,0,0,0,0,0,0,0,0,"5"
"128","GBR1-3","2014-12_Geographe_Bay_stereoBRUVs",-33.5937833,115.2022833,0,100,0,0,0,0,0,0,0,0,0,0,"2"
"129","GBR1-4","2014-12_Geographe_Bay_stereoBRUVs",-33.59345,115.2055167,0,0,0,100,0,0,0,0,0,0,0,0,"2"
"130","GBR4-1","2014-12_Geographe_Bay_stereoBRUVs",-33.5933333,115.2080833,0,0,0,100,0,0,0,0,0,0,0,0,"2"
"131","GBR4-2","2014-12_Geographe_Bay_stereoBRUVs",-33.5928333,115.2102333,0,0,0,93.75,0,0,0,0,0,6.25,0,0,"2"
"132","GBR5-1","2014-12_Geographe_Bay_stereoBRUVs",-33.5932167,115.2119333,0,0,0,100,0,0,0,0,0,0,0,0,"2"
"133","GBR5-2","2014-12_Geographe_Bay_stereoBRUVs",-33.5927333,115.2148,78.95,0,0,0,0,0,0,0,0,0,0,0,"2"
"134","GBR5-3","2014-12_Geographe_Bay_stereoBRUVs",-33.5924167,115.2175167,66.66,33.34,0,0,0,0,0,0,0,0,0,0,"2"
